date,city,temperature,humidity,pressure,wind_speed
2020-01-01,Delhi,19.06,42,1005,0.6283333333333333
2020-01-01,Mumbai,26.93,52,960,5.286666666666666
2020-01-01,Bengaluru,27.35,54,1017,4.8933333333333335
2020-01-01,Chennai,24.04,53,952,2.7550000000000003
2020-01-01,Kolkata,18.99,88,956,2.8533333333333335
2020-01-01,Hyderabad,26.72,78,992,3.0766666666666667
2020-01-01,Pune,14.24,79,966,6.316666666666666
2020-01-01,Jaipur,16.42,61,990,1.8716666666666668
2020-01-01,Lucknow,14.04,68,980,2.06
2020-01-01,Ahmedabad,17.43,66,1013,6.285
2020-01-02,Delhi,13.17,58,955,2.9183333333333334
2020-01-02,Mumbai,29.31,87,1015,1.68
2020-01-02,Bengaluru,17.74,69,952,5.19
2020-01-02,Chennai,24.19,41,994,2.7916666666666665
2020-01-02,Kolkata,19.64,91,969,3.393333333333333
2020-01-02,Hyderabad,27.06,48,958,2.3666666666666667
2020-01-02,Pune,12.98,86,976,3.2466666666666666
2020-01-02,Jaipur,18.09,62,952,1.5016666666666667
2020-01-02,Lucknow,18.88,53,1003,2.3266666666666667
2020-01-02,Ahmedabad,13.62,50,974,2.0516666666666667
2020-01-03,Delhi,12.83,84,986,4.46
2020-01-03,Mumbai,21.04,84,966,3.248333333333333
2020-01-03,Bengaluru,20.01,58,964,3.9233333333333333
2020-01-03,Chennai,25.03,58,960,5.488333333333333
2020-01-03,Kolkata,20.43,47,1012,0.6566666666666666
2020-01-03,Hyderabad,18.9,48,950,4.176666666666667
2020-01-03,Pune,21.11,46,971,0.915
2020-01-03,Jaipur,20.13,65,1000,5.361666666666667
2020-01-03,Lucknow,8.18,42,1003,3.233333333333333
2020-01-03,Ahmedabad,13.0,52,972,3.5733333333333337
2020-01-04,Delhi,11.68,62,1007,4.401666666666666
2020-01-04,Mumbai,28.13,71,1005,1.7516666666666667
2020-01-04,Bengaluru,15.24,62,1008,2.7916666666666665
2020-01-04,Chennai,23.46,50,994,6.204999999999999
2020-01-04,Kolkata,20.66,94,999,3.3249999999999997
2020-01-04,Hyderabad,17.52,46,974,0.27499999999999997
2020-01-04,Pune,14.68,60,1024,5.261666666666667
2020-01-04,Jaipur,15.8,88,976,5.34
2020-01-04,Lucknow,10.18,65,1003,1.7916666666666667
2020-01-04,Ahmedabad,13.41,42,1020,0.14833333333333334
2020-01-05,Delhi,15.05,70,1008,0.285
2020-01-05,Mumbai,28.05,61,990,1.2116666666666667
2020-01-05,Bengaluru,18.64,73,1021,4.486666666666667
2020-01-05,Chennai,25.41,87,1024,6.546666666666667
2020-01-05,Kolkata,22.67,50,979,5.596666666666667
2020-01-05,Hyderabad,25.09,62,1020,4.096666666666667
2020-01-05,Pune,17.36,62,965,3.4616666666666664
